iter	Passed	Remaining
0	1	108
1	1	90
2	2	88
3	4	96
4	5	103
5	6	101
6	7	105
7	9	113
8	11	117
9	13	120
10	14	120
11	16	120
12	17	119
13	19	120
14	20	117
15	22	117
16	23	113
17	24	110
18	25	109
19	26	107
20	28	106
21	29	105
22	31	103
23	32	102
24	33	101
25	35	99
26	36	97
27	37	96
28	39	95
29	40	94
30	41	93
31	43	91
32	44	90
33	45	88
34	46	87
35	48	85
36	49	84
37	50	82
38	52	81
39	53	79
40	54	78
41	54	75
42	56	74
43	57	72
44	58	71
45	59	70
46	61	68
47	62	67
48	63	66
49	64	64
50	66	63
51	67	62
52	68	60
53	69	59
54	70	57
55	71	56
56	72	54
57	73	53
58	74	51
59	75	50
60	76	48
61	77	47
62	78	46
63	79	44
64	80	43
65	82	42
66	82	40
67	83	39
68	84	38
69	86	36
70	87	35
71	88	34
72	89	32
73	90	31
74	91	30
75	91	29
76	92	27
77	93	26
78	94	25
79	95	23
80	96	22
81	97	21
82	98	20
83	99	18
84	100	17
85	101	16
86	102	15
87	103	14
88	104	12
89	105	11
90	106	10
91	107	9
92	108	8
93	109	6
94	109	5
95	110	4
96	111	3
97	112	2
98	113	1
99	114	0
